ageunder16,age16_24,age25_34,age35_44,age45_54,age55_64,age65over,gender_male,gender_female,population_group_percentage
10,80,208,272,167,92,26,533,292,8.2
1279,1314,2208,2131,1502,1124,552,6058,3910,100
559,530,868,1031,933,796,428,3198,1863,50.9
787,720,1242,983,455,130,37,2398,1934,43.1
1267,284,331,448,172,41,14,1121,1434,25.3
0,1029,0,0,0,0,0,582,399,10.2
0,0,1877,1683,1330,1083,538,4355,2077,64.5
492,594,966,1148,1047,994,515,3660,1976,56.9
9,80,167,235,151,83,24,464,259,7.4
1262,1292,2223,2128,1459,1091,533,5968,3892,100
619,554,932,1076,944,795,418,3294,1962,53.4
782,726,1320,1049,466,140,42,2512,1994,45.3
1251,281,332,447,167,46,15,1116,1422,25.4
0,1011,0,0,0,0,0,571,395,10.1
0,0,1891,1681,1292,1045,518,4281,2075,64.5
480,566,903,1079,993,951,491,3456,1898,54.7
7,74,143,210,131,82,21,414,232,6.7
1267,1323,2320,2196,1478,1093,535,6056,4022,100
727,591,991,1124,939,801,423,3385,2125,54.8
799,762,1463,1147,492,149,43,2668,2162,47.5
1260,283,337,442,171,44,15,1111,1440,25
0,1039,0,0,0,0,0,579,413,10.2
0,0,1983,1754,1307,1049,520,4366,2169,64.8
468,561,857,1049,986,944,492,3388,1860,52.5
7,69,133,210,137,79,25,397,241,6.5
1223,1303,2322,2214,1466,1052,531,6011,3957,100
717,610,995,1107,934,771,430,3347,2131,55
806,758,1516,1228,501,153,40,2783,2191,49.5
1217,279,314,442,165,44,14,1081,1393,24.5
0,1023,0,0,0,0,0,582,391,10.1
0,0,2008,1772,1301,1008,517,4348,2173,65.4
417,545,806,986,965,899,491,3228,1766,50.5
5,63,140,197,138,77,29,389,232,6.4
1265,1327,2431,2341,1537,1068,529,6280,4083,100
693,623,1096,1148,955,767,429,3450,2176,54.4
848,786,1650,1336,565,162,39,3027,2330,51.3
1256,274,328,443,173,40,11,1095,1429,24.1
0,1052,0,0,0,0,0,601,402,10
0,0,2103,1898,1364,1028,518,4584,2252,65.9
417,541,781,1005,972,906,490,3253,1753,48.7
8,62,144,191,150,83,27,406,233,6.3
1264,1349,2464,2409,1527,1067,527,6376,4096,100
687,631,1128,1211,946,757,414,3492,2196,54.4
867,801,1687,1372,585,165,35,3108,2378,52
1258,269,344,435,166,37,13,1086,1434,23.8
0,1079,0,0,0,0,0,623,411,10.2
0,0,2120,1974,1361,1030,514,4667,2251,66.1
397,548,777,1037,942,902,492,3268,1718,48
9,64,141,199,153,81,32,414,238,6.4
1259,1338,2575,2549,1606,1125,547,6675,4182,100
714,634,1146,1247,977,758,412,3538,2263,53.5
881,794,1718,1422,601,175,37,3192,2410,51.2
1254,276,337,435,167,41,12,1090,1430,22.9
0,1061,0,0,0,0,0,606,408,9.6
0,0,2238,2114,1439,1084,535,4979,2344,67.4
378,544,857,1127,1005,950,510,3483,1772,48.8
6,70,188,236,171,86,35,495,267,7.2
1254,1338,2621,2647,1632,1131,550,6774,4260,100
729,621,1162,1257,995,776,400,3549,2309,53.2
867,800,1764,1486,628,185,38,3293,2450,51.6
1250,281,343,436,166,49,13,1087,1449,22.7
0,1056,0,0,0,0,0,604,403,9.5
